#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Créditos Extraordinarios,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0301D,49300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,36403.68,,30403.68,28837.64,
0301D,49300,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,7556.28,,7556.28,3168.91,
0301D,49300,12300,RESIDENCIA PERSONAL FUNCIONARIO,5707.92,,5707.92,4121.68,
0301D,49300,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,21944.42,,21944.42,21936.55,
0301D,49300,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,2000.0,37.45,2037.45,37.45,
0301D,49300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,,726.3,
0301D,49300,22602,PUBLICIDAD Y PROPAGANDA,5500.0,,5500.0,7112.36,
0301D,49300,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",,,,,
0301D,49300,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,,10009.85,
0301D,49300,22699,OTROS GASTOS DIVERSOS,14200.0,,14200.0,,
0301D,49300,22701,SEGURIDAD,500.0,,500.0,213.21,
0301D,49300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,10871.9,,10871.9,4907.23,
0301D,49300,23020,DIETAS DEL PERSONAL NO DIRECTIVO,900.0,,900.0,,
0301D,49300,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,500.0,,500.0,51.41,
0301D,49300,48937,OTRAS TRANSFERENCIAS CONVENO A.D.I.C.A.E.,9200.0,,9200.0,,
0302A,13300,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,57570.0,,55070.0,54955.18,
0302A,13300,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,112.02,,112.02,,
0302A,13300,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11719.7,,11719.7,11622.84,
0302A,13300,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,43851.97,,43851.97,41006.39,
0302A,13300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,14443.8,,14443.8,13755.53,
0302A,13300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,30302.33,,30302.33,30105.51,
0302A,13300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,29889.04,,29889.04,27772.01,
0302A,13300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,58105.4,,58105.4,55308.44,
0302A,13300,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,4631.76,,4631.76,3373.38,
0302A,13300,12300,RESIDENCIA PERSONAL FUNCIONARIO,8771.31,,8771.31,8282.96,
0302A,13300,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,76757.63,,69857.63,69837.4,
0302A,13300,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,76550.28,,71150.28,70701.17,
0302A,13300,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,14243.28,,13043.28,13001.2,
0302A,13300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,69910.89,,69910.89,69765.73,
0302A,13300,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,392500.02,,392500.02,391020.31,
0302A,13300,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,500.0,,500.0,,
0302A,13300,21900,REPAR/MANTEN. OTRO INMOVILIZADO MATERIAL,28816.31,,28816.31,28815.31,
0302A,13300,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,681.42,,681.42,1597.57,
0302A,13300,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",500.0,,500.0,450.02,
0302A,13300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,692.55,,692.55,2771.13,
0302A,13300,22104,VESTUARIO,270.75,,270.75,144.93,
0302A,13300,22201,COMUNICACIONES POSTALES,,,,62.55,
0302A,13300,22699,OTROS GASTOS DIVERSOS,14500.0,12840.0,27340.0,25880.04,
0302A,13300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,1515306.33,74691.09,1589997.42,1534006.07,
0302A,13300,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,155.9,
0302A,13300,23020,DIETAS DEL PERSONAL NO DIRECTIVO,270.75,,270.75,37.4,
0302A,13300,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,,170.0,
0302A,13300,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,490.47,,490.47,156.35,
0302A,44110,44900,OTRAS SUBV. A ENTES PÚBL. Y SOC. MERCANTILES DEL AYTO.,10018000.0,,10018000.0,9818000.0,
0302A,44110,46700,TRANSFERENCIAS CORRIENTES A CONSORCIOS,3150000.0,,3150000.0,3150000.0,
0302A,44200,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,1000000.0,,1000000.0,,
0302B,13200,20400,ARRENDAMIENTO DE MATERIAL DE TRANSPORTE,256631.72,,256631.72,256382.39,
0302B,13200,22103,COMBUSTIBLES Y CARBURANTES,252000.0,,252000.0,131821.48,
0302B,13600,62400,ELEMENTOS DE TRANSPORTE,,,401250.0,372736.0,28514.0
0302B,16500,22103,COMBUSTIBLES Y CARBURANTES,42000.0,,42000.0,21435.99,
0302B,17100,22103,COMBUSTIBLES Y CARBURANTES,8160.0,,8160.0,5638.91,
0302B,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,26180.28,,17453.52,17453.52,
0302B,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,14526.0,,14526.0,14520.0,
0302B,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,12146.4,,7933.86,7933.86,
0302B,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,21554.79,,17653.82,17653.82,
0302B,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,20117.16,,15678.61,15257.43,
0302B,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,35182.08,,27359.04,27359.04,
0302B,92000,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,6230.64,,4600.75,4600.75,
0302B,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,6512.88,,5110.81,5110.81,
0302B,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,334028.22,,312163.04,309654.41,
0302B,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,279834.28,,265566.81,262447.49,
0302B,92000,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,43960.2,,43703.34,39303.6,
0302B,92000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,494867.55,,488094.57,487710.76,
0302B,92000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,167900.19,,167089.16,166594.44,
0302B,92000,20400,ARRENDAMIENTO DE MATERIAL DE TRANSPORTE,97792.28,,97792.28,97792.28,
0302B,92000,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",,,,5614.39,
0302B,92000,21400,REPAR/MANTEN. ELEMENTOS DE TRANSPORTE,250074.93,,248854.93,220616.69,
0302B,92000,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,238.52,
0302B,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,505.41,
0302B,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,,114.88,
0302B,92000,22103,COMBUSTIBLES Y CARBURANTES,114000.0,,114000.0,66113.75,
0302B,92000,22104,VESTUARIO,8000.0,,8000.0,7678.24,
0302B,92000,22401,PRIMAS DE SEGUROS. VEHÍCULOS,85550.67,,85550.67,83484.59,
0302B,92000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,615.36,
0302B,92000,22700,LIMPIEZA Y ASEO,95790.4,,95790.4,75834.04,
0302C,17000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,,13441.8,10081.35,
0302C,17000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,5169.24,,5169.24,3489.48,
0302C,17000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,6269.09,,6269.09,4206.28,
0302C,17000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,6179.28,,6179.28,5834.84,
0302C,17000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,13926.24,,13926.24,13539.4,
0302C,17000,12300,RESIDENCIA PERSONAL FUNCIONARIO,2079.12,,2079.12,1559.34,
0302C,17000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,73944.82,,73944.82,73935.69,
0302C,17000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,217102.89,,217102.89,216140.51,
0302C,17000,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",9000.0,,9000.0,4147.6,
0302C,17000,20900,CÁNONES,35000.0,,35000.0,16602.31,
0302C,17000,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,34994.5,,34994.5,1687.68,
0302C,17000,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,10000.0,,10000.0,1999.83,
0302C,17000,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",5000.0,,5000.0,1472.32,
0302C,17000,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,256.37,
0302C,17000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,173.03,,173.03,,
0302C,17000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",400.0,,400.0,,
0302C,17000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000.0,,4000.0,2422.3,
0302C,17000,22103,COMBUSTIBLES Y CARBURANTES,3000.0,,3000.0,,
0302C,17000,22199,OTROS SUMINISTROS,5000.0,,5000.0,3979.85,
0302C,17000,22300,GASTOS DE TRANSPORTES,4500.0,,4500.0,1493.5,
0302C,17000,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,,,,266.88,
0302C,17000,22602,PUBLICIDAD Y PROPAGANDA,43979.61,,43979.61,27288.76,
0302C,17000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,4561.44,
0302C,17000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",10000.0,,10000.0,15065.47,
0302C,17000,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,20951.74,,20951.74,38920.12,
0302C,17000,22699,OTROS GASTOS DIVERSOS,51150.0,,51150.0,57974.47,
0302C,17000,22700,LIMPIEZA Y ASEO,2351936.66,,2351936.66,2322177.7,
0302C,17000,22701,SEGURIDAD,27500.0,,27500.0,585.83,
0302C,17000,22703,SERVICIOS POSTALES Y MENSAJERÍA,500.0,,500.0,256.8,
0302C,17000,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,18000.0,,18000.0,58187.81,
0302C,17000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,364914.46,,364914.46,373974.76,
0302C,17000,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,1419.97,
0302C,17000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,,,,1217.42,
0302C,17000,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,2998.12,
0302C,17000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,,,,3737.89,
0302C,17000,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,19564.0,,19564.0,19563.7,
0302C,17000,61900,OTRAS REPOSICIONES DE USO GENERAL,74500.0,,74500.0,49684.33,
0302C,17000,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,16250.0,,6149.2,6149.2,
0401A,17100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,,8726.76,8726.76,
0401A,17100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,4145.4,,4145.4,4146.48,
0401A,17100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,4684.58,,4684.58,4680.4,
0401A,17100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,4241.16,,4241.16,4241.16,
0401A,17100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,7329.6,,7329.6,7329.6,
0401A,17100,12300,RESIDENCIA PERSONAL FUNCIONARIO,1401.12,,1401.12,1401.12,
0401A,17100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,51136.74,,38136.74,37637.72,
0401A,17100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,43888.19,,33888.19,33066.89,
0401A,17100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,3313.56,,3313.56,3141.72,
0401A,17100,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,226212.25,,202212.25,201751.26,
0401A,17100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,209940.58,,209940.58,208752.38,
0401A,17100,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",1500.0,,1500.0,,
0401A,17100,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,2342.23,
0401A,17100,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,,,,,
0401A,17100,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,9000.0,2165.97,11165.97,5194.36,
0401A,17100,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",1500.0,,1500.0,,
0401A,17100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,600.0,,600.0,,
0401A,17100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1500.0,,1500.0,178.47,
0401A,17100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",500.0,,500.0,,
0401A,17100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000.0,,2000.0,2915.58,
0401A,17100,22101,AGUA,3141426.05,862558.55,4003984.6,4224108.29,
0401A,17100,22104,VESTUARIO,1500.0,,1500.0,382.12,
0401A,17100,22109,ÚTILES Y HERRAMIENTAS,1500.0,,1500.0,,
0401A,17100,22199,OTROS SUMINISTROS,2500.0,,2500.0,,
0401A,17100,22602,PUBLICIDAD Y PROPAGANDA,1000.0,,1000.0,,
0401A,17100,22699,OTROS GASTOS DIVERSOS,948.0,442.47,1390.47,498.0,
0401A,17100,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1500.0,,1500.0,,
0401A,17100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,12857425.95,931333.71,13788759.66,13305057.36,
0401A,17100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,300.0,,300.0,,
0401A,17100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,300.0,,300.0,,
0401A,17100,26000,TRABAJOS REALIZADOS POR INSTITUCIONES SIN FINES DE LUCRO,,,,,
0401A,93300,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,,8726.76,8726.76,
0401A,93300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,3188.88,,3188.88,2897.22,
0401A,93300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,5848.07,,5848.07,5820.86,
0401A,93300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,6179.28,,6179.28,6179.28,
0401A,93300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,12948.96,,12948.96,12948.96,
0401A,93300,12300,RESIDENCIA PERSONAL FUNCIONARIO,1401.12,,1401.12,1401.12,
0401A,93300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,41427.53,,41427.53,41413.81,
0401A,93300,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,65285.74,,65285.74,59877.45,
0401A,93300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,900.0,,900.0,887.92,
0401A,93300,22699,OTROS GASTOS DIVERSOS,800.0,,800.0,,
0401A,93300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,1504550.0,,1495305.2,1448274.72,
0401A,93300,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,,9244.8,9244.8,9244.8,
0401B,31100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,,13441.8,13441.8,
0401B,31100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,7748.56,
0401B,31100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8799.48,,8799.48,8726.76,
0401B,31100,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,12710.25,,710.25,,
0401B,31100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,11970.48,,10470.48,8556.12,
0401B,31100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,24773.85,,18273.85,16675.02,
0401B,31100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,25081.77,,18081.77,16256.24,
0401B,31100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,53204.75,,39204.75,34856.32,
0401B,31100,12300,RESIDENCIA PERSONAL FUNCIONARIO,7211.95,,5211.95,4613.04,
0401B,31100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,74111.64,,74111.64,73651.75,
0401B,31100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,75385.31,,75385.31,74806.32,
0401B,31100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1286.28,,1286.28,1047.72,
0401B,31100,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,164794.56,,142794.56,141662.93,
0401B,31100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,21944.42,,21944.42,16331.91,
0401B,31100,20400,ARRENDAMIENTO DE MATERIAL DE TRANSPORTE,9534.06,,9534.06,5737.68,
0401B,31100,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,,,,,
0401B,31100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,510.0,,510.0,423.72,
0401B,31100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1020.0,,1020.0,1775.85,
0401B,31100,22104,VESTUARIO,3060.0,,3060.0,2659.36,
0401B,31100,22109,ÚTILES Y HERRAMIENTAS,2040.0,,2040.0,,
0401B,31100,22110,PRODUCTOS DE LIMPIEZA Y ASEO,1020.0,,1020.0,,
0401B,31100,22113,MANUTENCIÓN DE ANIMALES,1938.0,,1938.0,,
0401B,31100,22199,OTROS SUMINISTROS,61020.0,,61020.0,52675.81,
0401B,31100,22602,PUBLICIDAD Y PROPAGANDA,8670.0,,8670.0,10864.11,
0401B,31100,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",,,,446.87,
0401B,31100,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,,,,6317.75,
0401B,31100,22699,OTROS GASTOS DIVERSOS,25013.64,,25013.64,46396.82,
0401B,31100,22701,SEGURIDAD,,,,,
0401B,31100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,249174.3,,249174.3,230233.97,
0401B,31100,48935,OTRAS TRANSFERENCIAS ASOCIACIÓN ALBERGUE BAÑADEROS,42000.0,,42000.0,42000.0,
0401C,16400,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,165.85,
0401C,16400,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,538.65,,538.65,586.72,
0401C,16400,22199,OTROS SUMINISTROS,,,,152.8,
0401C,16400,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",82000.0,,82000.0,63146.24,
0401C,16400,22699,OTROS GASTOS DIVERSOS,1604174.43,,1604174.43,1563854.86,
0401C,16400,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,,,,17850.0,
0401C,16400,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,,,,16170.55,
0401C,16400,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,384.75,,384.75,164.81,
0401C,16400,35200,INTERESES DE DEMORA,341373.8,,341373.8,192369.05,
0401D,15320,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,224.03,,224.03,,
0401D,15320,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,11622.84,
0401D,15320,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,,17453.52,17453.52,
0401D,15320,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,8168.16,,8168.16,8116.2,
0401D,15320,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,16445.37,,16445.37,16342.69,
0401D,15320,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,15871.65,,15871.65,15749.64,
0401D,15320,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,33498.31,,33498.31,33227.52,
0401D,15320,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,2904.48,,2904.48,2343.96,
0401D,15320,12300,RESIDENCIA PERSONAL FUNCIONARIO,4536.09,,4536.09,4501.44,
0401D,15320,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,46475.2,,32975.2,32606.98,
0401D,15320,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,38438.57,,30538.57,30420.45,
0401D,15320,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,3723.12,,3723.12,2937.43,
0401D,15320,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,185625.11,,185625.11,185399.58,
0401D,15320,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,402987.35,,402987.35,401464.95,
0401D,15320,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,,,,,
0401D,15320,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,,,,50315.98,
0401D,15320,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,200.0,,200.0,,
0401D,15320,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,200.0,,200.0,2063.57,
0401D,15320,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,400.0,,400.0,149.8,
0401D,15320,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",180.0,,180.0,,
0401D,15320,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,500.0,,500.0,4734.41,
0401D,15320,22104,VESTUARIO,,,,306.83,
0401D,15320,22199,OTROS SUMINISTROS,250.0,,250.0,,
0401D,15320,22300,GASTOS DE TRANSPORTES,400.0,,400.0,,
0401D,15320,22602,PUBLICIDAD Y PROPAGANDA,250.0,,250.0,,
0401D,15320,22699,OTROS GASTOS DIVERSOS,1815.0,,1815.0,4605.67,
0401D,15320,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1055.0,,1055.0,,
0401D,15320,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,4515727.75,,4330813.08,4242558.55,
0401D,15320,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,400.0,,400.0,225.2,
0401D,15320,23020,DIETAS DEL PERSONAL NO DIRECTIVO,250.0,,250.0,,
0401D,15320,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,1850.0,,1850.0,142.8,
0401D,15320,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,100.0,,100.0,,
0401D,15320,61900,OTRAS REPOSICIONES DE USO GENERAL,740000.0,260000.57,1225485.24,776983.7,
0401D,15320,64100,GASTOS EN APLICACIONES INFORMÁTICAS,,,9430.0,8463.08,
0402A,16500,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,11622.84,
0402A,16500,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,3371.28,,3371.28,3371.52,
0402A,16500,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,5686.18,,5686.18,5687.67,
0402A,16500,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,5329.2,,5329.2,5182.67,
0402A,16500,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,11971.68,,11971.68,11971.68,
0402A,16500,12300,RESIDENCIA PERSONAL FUNCIONARIO,1699.2,,1699.2,1699.2,
0402A,16500,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,305212.87,,281212.87,277690.76,
0402A,16500,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,265823.94,,251823.94,250979.45,
0402A,16500,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,33574.44,,17074.44,16372.98,
0402A,16500,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,562187.92,,562187.92,552038.06,
0402A,16500,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,38050.97,,38050.97,38043.57,
0402A,16500,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,,4000.0,2795.0,
0402A,16500,20400,ARRENDAMIENTO DE MATERIAL DE TRANSPORTE,20000.0,,2000.0,,
0402A,16500,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1500.0,,1500.0,,
0402A,16500,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000.0,,2000.0,4375.27,
0402A,16500,22100,ENERGÍA ELÉCTRICA,5300000.0,,5608048.6,3687162.93,
0402A,16500,22104,VESTUARIO,14000.0,,14000.0,13999.42,
0402A,16500,22109,ÚTILES Y HERRAMIENTAS,3500.0,,3500.0,4747.48,
0402A,16500,22199,OTROS SUMINISTROS,285498.42,,285498.42,171986.43,
0402A,16500,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,629.22,
0402A,16500,22699,OTROS GASTOS DIVERSOS,11000.0,,440.0,440.0,
0402A,16500,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,678223.32,,678223.32,678218.14,
0402A,16500,23020,DIETAS DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,310.11,
0402A,16500,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,230.24,
0402A,16500,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",3000.0,,3000.0,2103.73,
0402A,16500,62400,ELEMENTOS DE TRANSPORTE,,,18000.0,,
0402A,16500,64100,GASTOS EN APLICACIONES INFORMÁTICAS,,,5735.0,5728.02,
0402B,16000,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",95.0,,95.0,,
